OBJECTID,Id,SITE_NAME,S_NAME,POINT_X,POINT_Y,REMARKS,POINT_Z,GlobalID
265,14215,Jiftlik,Jiftlik,35.47000000,32.14000000,NULL,0.00000000,4538FD33-4E56-4806-8737-00337BF3BF61
472,14518,Araplar,Araplar,36.43000000,36.74000000,NULL,0.00000000,78A0DBBA-8F0B-4563-8BD1-0071A0259B79
803,20033,Ein Hanasiv,NULL,29.75160000,33.67970000,NULL,NULL,8FE39665-130C-4E8C-A6AF-00754B0996CA
69,13309,Mugar (U),Mugar (U),35.51000000,33.04000000,NULL,0.00000000,A7E7E1DD-A3C9-4C14-B403-011751AA7F3B
789,20019,Augustopolis in Palaestina,NULL,29.75160000,33.67970000,NULL,NULL,9DA633B9-74E8-4E30-9B31-021385BBEF33
381,14385,Mt. Lebanon (A),Mt. Lebanon (A),35.71000000,33.50000000,NULL,0.00000000,363BA99B-AD00-4E0A-AC50-024FE04AF5EF
361,14334,Judea (A),Judea (A),35.35000000,32.08000000,NULL,0.00000000,D843F5FD-6514-4334-BECA-02539A39DD12
78,13320,Ayn Ibli,Ayn Ibli,35.63000000,33.41000000,NULL,0.00000000,86C75158-8164-41C4-BE0F-026DBB389A1B
545,15047,Ein esh-Shallala',Ein esh-Shallala',34.48000000,31.30000000,Shellal,0.00000000,11F6D413-E66B-4A9C-949A-0302C92CAF5E
102,13368,Sirin,Sirin,35.52000000,32.64000000,NULL,0.00000000,FF8469BC-AD13-4027-8ACD-0306F28E40E3
700,15274,Mo'a,Mo'a,35.16000000,30.54000000,Moyat Awad,0.00000000,42B0B079-DF35-4DFB-8B12-0340CE15DD5C
813,20043,En Feshka Archaeoseismic,NULL,29.75160000,33.67970000,NULL,NULL,DC16461F-AC87-4EFD-8392-037B6FCE963C
15,18,Areopolis,Areopolis,35.73000000,31.26000000,Moab,0.00000000,A5F24953-627D-4CC5-A347-03A7109C742E
574,15102,el-Muasi,el-Muasi,34.38000000,31.42000000,NULL,0.00000000,C2A1951D-0E15-46B1-B7B1-040E9492439C
132,13416,Shakif Arnun Citadel (U),Shakif Arnun Citadel (U),33.65082151,33.05128774,NULL,0.00000000,F9402D44-C7B4-4D8E-AAD3-041851F32D2E
800,20030,Deir 'Aziz,NULL,29.75160000,33.67970000,NULL,NULL,D793A693-7BD0-4FD5-9FAC-0472301FDBB4
473,14519,Burc (U),Burc (U),33.65082151,33.05128774,NULL,0.00000000,AD7BA66F-D3FF-46AD-8CA4-04A76CA4F13A
