Order_Date,Full_Date,Numeric_Date,Event_Type,Event_Mag,Rel,SITE_NAME,POINT_X,POINT_Y,Damage,Damage_Val,Causalties_Val,EMS98_Value,EMS98_Num,MSK_Value,MSK_Num,Other_Intensity,Total_Bld,Damaged_Bld,Total_Pop,Casualties,Injuries,Description
-1,Unknown,-10000.00000000,U,NULL,Mr,Tel Ateret,35.62773538,33.00463080,4,Heavy,U,9-10,9.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following excavations in Tell Ateret of EMK. The offset that is related to this section was probably the result of multiple unknown events
1,c. 8.4–9.0 ka BCE,-8000.00000000,U,NULL,Mr,Qiryat Shemona-EEA (A),35.55000000,33.19000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,KKW have identified rock falls close to Qiryat Shemona (northern Israel). Could be the event between c. 8.4–9.0 ka BCE resolved by DAKL.
8,~2900 BCE,2900.00000000,U,NULL,Dr,Tel el-Saiidiyeh,35.57000000,32.31000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,FR following Tubb 1988
8,~2900 BCE,2900.00000000,U,NULL,Dr,Tel el-Fukhar,35.95276963,32.68074620,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,FR following Savage 2003
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Dr,Tel Abu en-Ni’aj,35.56572537,32.42616833,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,FR suggest potential damage due to an earthquake in ~2300 BCE (Following Savage 2003)
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Dr,Khirbat Iskandar,35.76605856,31.57339144,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,FR suggest potential damage due to an earthquake in ~2300 BCE (Following Savage 2003)
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Mr,Qiryat Shemona-EEA (A),35.55000000,33.19000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,KKW suggest rock falls close to Qiryat Shemona . Could be the the 2050/2100 BCE earthquake (or two separate events) suggested by MIG
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Pr,Judea (A),35.35000000,32.08000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"The possibilities of an earthquake damage, volcanic eruption or gas emission are controversial and need further verification (AM)"
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Pr,Sodom and Ghomorrah,35.50000000,31.20000000,5,Severe,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following AM
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Pr,Zoar,35.46000000,30.99000000,5,Severe,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Zoar was spared (AM)
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Pr,Admah,35.45000000,31.07000000,5,Severe,U,9-10,9.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Admah was destroyed (AM)
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Pr,Ze'boim,35.47000000,31.04000000,5,Severe,U,9-10,9.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Ze'boim was destroyed (AM)
11,c.2100-1700 BCE,-1900.00000000,S,NULL,Dr,Nizanna,34.43000000,30.87000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TODO: verify
12,c.1400 BCE,-1400.00000000,S,NULL,Pr,Jericho,35.46264709,31.86013890,4,Heavy,U,9,9.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,The collapse of the Jericho walls allegedly attributed to an earthquake (see discussion in AM)
13,c.1365 BCE,-1365.00000000,S,NULL,Pr,Ugarit,35.80000000,35.65000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TODO
14,c.1250 BCE,-1250.00000000,U,NULL,U,Palestine (A),35.20000000,32.39000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TODO
16,c.1070 BCE,-1070.00000000,S,NULL,Pr,Mizpeh,35.21000000,31.88000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TODO
17,980-830 BCE (Iron age ||A),-980.00000000,S,NULL,Pr,Tel Rehov,35.49000000,32.45000000,4,Heavy,U,6-7,6.50000000,U,-1.00000000,NULL,NULL,Few,NULL,NULL,NULL,"Earthquake that damaged Tel Rehov at late 10th until the early 9th century BCE. The linkage to this earthquake (980-830 BCE (Iron age ||A)) is to be clarified. Reference: Ben-Yosef, E., & Ron, H. (2016). Reconstructing a Seismic Destruction at Tel Rehov: Insights from a Plaeomagnetic Test on Tilted Walls in Area C, Stratum V. In A. Mazar & N. Panitz-Cohen (Eds.), Tel Rehov: The 1997-2012 excavations Jerusalem: Qedem."
17,980-830 BCE (Iron age ||A),-980.00000000,S,NULL,Mr,Tel Ateret,35.62773538,33.00463080,4,Heavy,U,10-11,10.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following excavations in Tell Ateret of EMK
18,854 BCE,-854.00000000,U,NULL,U,Unspecified,35.92000000,33.29000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TODO
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Araq el-Amir,35.75000000,31.91000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM following Butler, 1907"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Gezer,34.92000000,31.87000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM; GCT are based on archaeological Remains of Dever and Younker 1991, 286; Younker 1991; Dever 1992, 30. Also, AM suggests they the site is included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source.
AUS determine MMI = 9"
