Numeric_Date,Full_Date,Degree,Reliablility,Description
-760.00000000,c.760-750 BCE,3,2,"Though Jerusalem is not specifically mentioned, had there been a great earthquake (which we believe that occurred), Jerusalem was damaged. BM5 and AUS assign an intensity of VIII and IX, respectively. AM and GCT, based on Josephus and Nathan HaBavli, note that Jerusalem was hit in Ein-Rogel (landslides), the Temple, Valley of Hinnom (landslides) and perhaps Olive Mt."
-92.00000000,92 Feb 28 BCE,3,5,AM (p.96) and KA2 question the entry in BM5 concerning the reliability of this event and elaborate the sequence of sources leading to a potential spurious event.
-65.00000000,c.65 BCE,3,5,"AM ollowing the Babylonian Talmud. Baba Kama: ""earthquake struck Israel and the land trembled a hundred miles in all directions"". KA2 questions and event that hit Jerusalem"
-31.00000000,31 early spring BCE,3,5,AM following AAT
33.00000000,33,0,4,The testimony of St. Mathwre is not clear and one could not conclude for sure that Jerusalem has been hit.
363.00000000,363 May 18-19 (3rd hour-night),4,2,NULL
418.00000000,418/419,1,2,NULL
634.00000000,634 Sep,3,3,NULL
746.00000000,c.746 Jan,3,5,"Although it is possible that Jerusalem sustained some damage, the sources do not refer to it. They do describe at some length the repairable and irreparable damage caused to the Aksa mosque around its mihrab, but details about damage to other buildings and houses in Jerusalem are lacking (AM aftter Theoph. 422; al-Dhah. Tar. Islam v. 39–40)."
756.00000000,756 (757) Mar 9,3,1,NULL
1016.00000000,1016 Aug 27,3,4,Jerusalem / al Aqsa Mousqe: The Dome of the Rock in Jerusalem was allegedly damaged but no source (and there are only secondary sources) mentions an earthquake
1033.00000000,1033 Dec 5 (night),4,2,"damage: al Aqsa Mousqe, Dome of the rock, Mihrab of Dawud, David Citadel"
1068.20000000,1068 May 29,2,4,damage: Dome of the rock
1105.00000000,1105 Dec 24 (evening),1,1,NULL
1113.00000000,1113 Jul 18,1,2,NULL
1114.00000000,1114 Apr-May,1,4,NULL
1117.00000000,1117 Jun 26,3,2,NULL
1157.70000000,1157 Aug 12 (night),3,2,NULL
1170.00000000,1170 Jun 29 (0345),1,2,NULL
1202.00000000,1202 May 20 (0240),2,1,NULL
1458.00000000,1458 Nov 16,3,2,"damage: part of the minaret over the Zawiya al-Darkah, dome near the Church of the Holy Sepulchre"
1504.00000000,1504,1,4,Three shocks were felt in Jerusalem
