Id,Sites_GlobalID,SITE_NAME,Event_Id,Full_Date,Numeric_Date,Event_Type,Event_Mag,POINT_X,POINT_Y,Rel,Env_Eff,Env_Eff_Val,Env_Eff2,Category,Description,ESI_Val,ESI_Num,Order_Date
3,DFB96483-FF1B-420F-87E7-19E8073CEEE6,Jordan River (A),210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.53000000,31.82000000,Very High,LD,Landslides,-1,Slope Stability,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7-8,7.50000000,490
10,BC20E94B-A34D-4F1F-AF24-6A1EFCD65DC5,El-Hama,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.65000000,32.68000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",21,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
12,5C9FEE42-4817-4C3B-A724-740330C36572,Alexandria,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,29.89000000,31.20000000,Very High,U,Unknown,-1,"Unknown ","(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.

(2) A slight earthquake shock was felt at about 3.5 p.m. yesterday in Alexandria also, lasting for about one minuet.",Unknown,-1.00000000,490
49,500F145D-D1EC-458A-9BA3-4AB7731BA22F,Zarka,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,36.08000000,32.06000000,Very High,WC,Changes in water chemistry,-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
53,4DB98FB7-2AD2-4043-A737-B9E71D391CAD,Haifa,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.00000000,32.82000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.
(2) 2 strong shocks were felt. The Banko di Roma, and other buildings, were cracked.",Unknown,-1.00000000,490
54,D8E02F13-BB7C-4EF2-8427-79CFC7B613BB,Tabgha,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.53000000,32.87000000,Very High,WC,Changes in water chemistry,-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",6-7,6.50000000,490
64,EA893DDB-2EF5-4ED8-B626-B69BA7460090,Jerusalem-Jericho Road (A),210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.40000000,31.79000000,Very High,LD,Landslides,-1,Slope Stability,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
65,285D2F9B-BDC0-4A75-B7ED-CF331E03C16F,Jerusalem-Jericho Road 2 (A),210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.40000000,31.79000000,Very High,LD,Landslides,-1,Slope Stability,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
66,50DDE072-3A3C-4CAE-A3E9-6BE6316D6E2A,Amman-Jordan Road,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.64000000,31.81000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
73,F46690DC-3E1B-4FF1-AFE5-1DCC2EBFF617,Migdal Yava,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,34.94000000,32.07000000,Very High,WC,Changes in water chemistry,3,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
75,9A6CB00D-38C3-4105-A747-DF31342CAD3C,Motza,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.15000000,31.78000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
77,F77F71CF-12FB-4ED6-9A18-59E43AE21A7D,Maa'yan Elisha,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.43000000,31.87000000,Very High,WC,Changes in water chemistry,-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.
(2) The water was painted red",7-8,7.50000000,490
81,1936F477-1750-4C18-8CE6-1528010A851E,Deir Mar-Saba,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.33000000,31.70000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
83,2C57D5EC-AA9C-4113-857E-B6DAD47D9171,Nabi-Musa,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.43000000,31.78000000,Very High,GE,Exhalation or emission of gas,5,Gas exhalation,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",8-9,8.50000000,490
87,DF59E903-CD4A-4D16-9E47-F4107E798606,Nes-Ziona,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,34.79000000,31.92000000,Very High,LD,Landslides,-1,Slope Stability,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
95,BD24A366-89AC-409F-96A8-7A5BF45C4445,Ein el-Kelt,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.36000000,31.83000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",21,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",8-9,8.50000000,490
96,3C471159-CBDB-4719-B69A-489BF18B07BD,Ein-Dok,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.43000000,31.87000000,Very High,RF,Rock falls,-1,Other,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7-8,7.50000000,490
98,577F480F-962E-43D3-B007-73395170945D,Ein-Karem,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.16000000,31.77000000,Very High,WC,Changes in water chemistry,-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7-8,7.50000000,490
99,FEB1BDEF-D99A-4A2C-B8A2-A099CF5BF578,Ein-Musa,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.72000000,31.76000000,Very High,WC,Changes in water chemistry,-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
101,B0F6DE33-2C9A-452B-8651-289A55BB4810,Ein-Farah,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.34000000,32.28000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
109,FB9C0BAD-22D7-45FE-8E0E-197AFBE02FBB,Tzemach,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.58000000,32.70000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7- DAMAGING,7.00000000,490
111,45638DEE-E50A-4113-9260-F6AB3B96506F,Tzora,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,34.97000000,31.77000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",7-8,7.50000000,490
121,81E062D5-FBB2-471D-A762-D423758724BC,Reina,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.29000000,32.71000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
131,E17AB41C-40F2-4BC3-AA99-91EBEA409675,Dead Sea north 1 (A),210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.52000000,31.76000000,Very High,SW,Sea waves,-1,Sea phenomena,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.",Unknown,-1.00000000,490
138,372EE9DF-BD1C-4FE4-8BAF-B7DEDDA3BCA8,Jerusalem,8,c.760-750 BCE,-760.00000000,S,7.83000000,35.23371042,31.77430227,High,LD,Landslides,-1,Slope Stability,"Though Jerusalem is not specifically mentioned, had there been a great earthquake (which we believe that occurred), Jerusalem was damaged. BM5 and AUS assign an intensity of VIII and IX, respectively. AM and GCT, based on Josephus and Nathan HaBavli, note that Jerusalem was hit in Ein-Rogel (landslides), the Temple, Valley of Hinnom (landslides) and perhaps Olive Mt.",9 - DESTRUCTIVE,9.00000000,15
139,D843F5FD-6514-4334-BECA-02539A39DD12,Judea (A),8,c.760-750 BCE,-760.00000000,S,7.83000000,35.35000000,32.08000000,High,U,Unknown,-1,"Unknown ","The description in Amos 1.1, imply of event that was relatively massive to date or reference accordingly  the Amos's prophecy. The 6th century Zecharia and perhaps also Isaiah imply of probable event (AM)",Unknown,-1.00000000,15
154,C3204458-8A35-4241-AAE1-71F5AAE2BB0D,Phoenicia (A),14,c.198 BCE,-198.00000000,Unknown,NULL,35.37000000,33.42000000,High,U,Unknown,-1,"Unknown ","AM and GCT (p. 145) after Posidonius: ""As a result of an earthquake in Phoenicia..."". The earthuqkae is reported to damage Sidon so it is resonable to assume other locations in Phoenicia (Present day Lebanon) were damaged as well",Unknown,-1.00000000,23
155,5472F125-084A-49EE-BE2A-AADB2C17C1C2,Sidon,14,c.198 BCE,-198.00000000,Unknown,NULL,35.37000000,33.56000000,High,LD,Landslides,-1,Slope Stability,"TODO - where is the reference of landslides?

GCT (p. 145) after Posidonius: ""As a result of an earthquake in Phoenicia, a city above Sidon was swallowed up, and almost two-thirds of Sidon itself collapsed, but the number of victims was limited, because it did not happen in a single shock""",Unknown,-1.00000000,23
156,E0A3CC35-34B4-4C7A-99A6-8B69DCCFA2BF,Syria (A),14,c.198 BCE,-198.00000000,Unknown,NULL,37.03000000,34.93000000,High,U,Unknown,-1,"Unknown ","GCT (p. 145) after Posidonius: ""The same disaster struck the whole of Syria, but with moderate intensity"".
The intensity of the earthquake seems to be lower than in Lebanon (Phoenicia)",Unknown,-1.00000000,23
158,D843F5FD-6514-4334-BECA-02539A39DD12,Judea (A),20,31 early spring BCE,-31.00000000,S,6.70000000,35.35000000,32.08000000,High,U,Unknown,-1,"Unknown ","GCT (p. 173-174) based on Josephus suggest a strong earthquake with many casualties in Judea. However, the 30000 casualtiles according to Josephus seems to be exagarated",Unknown,-1.00000000,34
173,DA8E5967-B9B3-47EE-99BB-1B767B08C6E5,Antakya,254,c.65 BCE,-65.00000000,S,NULL,36.16000000,36.20000000,Moderate,U,Unknown,-1,"Unknown ",GCT after Malalas sugget the Senat building has collapsed,Unknown,-1.00000000,30
174,E0A3CC35-34B4-4C7A-99A6-8B69DCCFA2BF,Syria (A),254,c.65 BCE,-65.00000000,S,NULL,37.03000000,34.93000000,High,U,Unknown,-1,"Unknown ",GCT (p. 162) and AM (p. 96) following Justin (3rd century CE): many Syrian cities were destroyed.,Unknown,-1.00000000,30
178,DA8E5967-B9B3-47EE-99BB-1B767B08C6E5,Antakya,27,37 Mar 23  (morning),37.00000000,S,NULL,36.16000000,36.20000000,High,LD,Landslides,-1,Slope Stability,"damage: Daphne, the hill of Orontes (Landslides)",Unknown,-1.00000000,39
197,32CCC3A0-A7EE-46D7-92AA-6818C0DB8787,Caesarea,39,303 Apr 2,303.00000000,S,7.10000000,34.89000000,32.50000000,Moderate,SW,Sea waves,-1,Sea phenomena,NULL,Unknown,-1.00000000,53
