Id,Sites_GlobalID,SITE_NAME,Event_Id,Full_Date,Numeric_Date,Event_Type,Event_Mag,POINT_X,POINT_Y,Rel,Env_Eff,Env_Eff_Val,Env_Eff2,Category,Description,ESI_Val,ESI_Num,Order_Date,Region
12,5C9FEE42-4817-4C3B-A724-740330C36572,Alexandria,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,29.89000000,31.20000000,Very High,U,Unknown,-1,"Unknown ","MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA]; A slight earthquake shock was felt at about 3.5 p.m. yesterday in Alexandria also, lasting for about one minuet.",Unknown,-1.00000000,490,C
53,4DB98FB7-2AD2-4043-A737-B9E71D391CAD,Haifa,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.00000000,32.82000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,"MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA]; 2 strong shocks were felt. The Banko di Roma, and other buildings, were cracked.",Unknown,-1.00000000,490,C
64,EA893DDB-2EF5-4ED8-B626-B69BA7460090,Jerusalem-Jericho Road (A),210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.40000000,31.79000000,Very High,LD,Landslides,-1,Slope Stability,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],Unknown,-1.00000000,490,C
65,285D2F9B-BDC0-4A75-B7ED-CF331E03C16F,Jerusalem-Jericho Road 2 (A),210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.40000000,31.79000000,Very High,LD,Landslides,-1,Slope Stability,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],Unknown,-1.00000000,490,C
66,50DDE072-3A3C-4CAE-A3E9-6BE6316D6E2A,Amman-Jordan Road,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.64000000,31.81000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],Unknown,-1.00000000,490,C
73,F46690DC-3E1B-4FF1-AFE5-1DCC2EBFF617,Majdal Yaba,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,34.95484054,32.08090252,Very High,WC,Changes in water chemistry,3,Hydrologic phenomena’s,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],7- DAMAGING,7.00000000,490,C
75,9A6CB00D-38C3-4105-A747-DF31342CAD3C,Motza,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.15000000,31.78000000,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],7- DAMAGING,7.00000000,490,C
77,F77F71CF-12FB-4ED6-9A18-59E43AE21A7D,Maa'yan Elisha,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.43000000,31.87000000,Very High,WC,Changes in water chemistry,-1,Hydrologic phenomena’s,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA]; The water was painted red,7-8,7.50000000,490,C
81,1936F477-1750-4C18-8CE6-1528010A851E,Deir Mar-Saba,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.33000000,31.70000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],7- DAMAGING,7.00000000,490,C
83,2C57D5EC-AA9C-4113-857E-B6DAD47D9171,Nabi-Musa,210,1927 Jul 11 (15:04),1927.00000000,S,6.25000000,35.43000000,31.78000000,Very High,GE,Exhalation or emission of gas,5,Gas exhalation,MSK values follow (Avni 1999); Modifications were made by Zohar and Marco (2012) [ZOMA],8-9,8.50000000,490,C
