Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
8,~2900 BCE,2900.00000000,NULL,Doubtful,U,-1,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,U,NULL,Unknown,33.65082151,33.05128774,0,0,FR relates damage to an event occurred in ~2900 BCE. Based on evidence from Jordan,NULL,FR,Archaeoseismic
8,~2900 BCE,2900.00000000,NULL,Doubtful,U,-1,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,U,NULL,Test,NULL,NULL,0,0,FR relates damage to an event occurred in ~2900 BCE. Based on evidence from Jordan,NULL,FR,Archaeoseismic
11,c.2100-1700 BCE,-1900.00000000,400,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C,"Sodom, Judea",Sodom and Ghomorrah,35.50000000,31.20000000,0,1,"The claim that the destruction of Sodom, Gomorrah, Admah, Zebo’im and Zoar (Genesis, 19.24-28; 29.23: Bible, 1989) was a result of an earthquake is not decisive. Strabo, a 1st century BCE writer, mentions earthquakes as a possible cause for ruins near Masada but  also cites an alternative physical explanation suggested by the 3rd BCE writer Eratosthenes (Strabo, 16.2 42, 44). Other possibilities might be a volcanic eruption or a retrogressive ignition of large emissions of methane and petroleum. Yet, no other supportive source or evidence is found and thus the alleged event needs further authentication (AM)."," Secondary: Genesis ( 19.24-28; 29.23); Strabo, 1917; Eratosthenes, 2010",AM; BEN;,Historical
12,c.1400 BCE,-1400.00000000,100,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C,Jericho,Jericho,35.46264709,31.86013890,0,0,"The tumbling down of Jericho’s walls (Joshua, 6.20-21: Bible, 1989)  as an outcome of an earthquake is not significantly supported by other literary sources. Some archaeoseismic evidence implies possible earthquake damage in the middle of the 2nd millennium BCE (AM and references therein) but its relation to the conquest of Jericho by Joshua needs further authentication.","Secondary: Joshua, 6.20-21: Bible, 1989",AM; BEN;,Historical
13,c.1365 BCE,-1365.00000000,10,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Ugarit,Ugarit,35.80000000,35.65000000,1,0,"The only historical reference refers to an event that caused a fire without mentioning an earthquake occurrence. Archaeological evidence are not decisive (SAL2).

---------------------",Abimilki of Tyre to Amenophis IV (?),SDM; SAL2,Historical
14,c.1250 BCE,-1250.00000000,1,Doubtful,U,2,Moderate,NULL,NULL,6.5,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
15,1225-1175 BCE,-1200.00000000,50,Doubtful,C,4,Strong,NULL,0.00000000,NULL,NULL,NULL,NULL,MD,Eastern Mediterranean,East Mediterranean (A),34.12000000,34.07000000,0,0,A storm of quakes might have occurred and damaged several archaeological sites in Eastern Mediterranean and also Palestine. Bases only on archaeological with no decisive evidence of damage that could be unequivocally associated with an earthquake (NUCL),NULL,NUCL,Historical
16,c.1070 BCE,-1070.00000000,50,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C,"Mizpeh, Judaea",Judea (A),35.35000000,32.08000000,0,0,"Josephus describes a battle that had been decided to the Israelites upon the Philistines as ‘God’s resulted earthquake’(Josephus, 6.2).  The battle had taken place in Mizpeh (probably Nabi-Samuel, north of Jerusalem) but the other details seem to be incidental. Furthermore, Josephus sources of the event remain anonymous.","Secondary: (Josephus, 6. 2)",AM;,Historical
18,854 BCE,-854.00000000,-,Doubtful,U,2,Moderate,NULL,NULL,6.6,NULL,NULL,NULL,C,Lake Tiberias,Sea of Gali,35.58000000,32.80000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
20,590 BCE,-590.00000000,-,Doubtful,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Tyre,Tyre,35.21000000,33.26000000,1,0,"KA2 pointed out the entry citation by PLKO, BM and SI with no specific reference of occurrence",No Historic reference,BM; PLKO; SI; SDM; KA2; SDM,Historical
