Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type,C_Damage,Max_Damage
19,c.760-750 BCE,-760.00000000,10,High,S,4,Strong,7.8-8.2 (AUS); 8.2 (BM5); 7.3 (BM),7.83000000,8,NULL,NULL,NULL,C,Judaea,Judea (A),35.35000000,32.08000000,0,1,"Damaging event during mid-8th century BCE. Amos references his prophecy in time according to an earthquake occurred two years after. Consequently, we assume the event had indeed occurred and was significant enough to be remembered and documented. However, apart from Amos, there are only few late secondary sources (GCT; AM and references therein) that imply of possible damage in Jerusalem, but they cannot be authenticated. KKW correlated rock falls with this earthquake at the north of Galilee. Other archaeological evidence cannot be unequivocally associated with this event (AM).
The archaeoseismic case for a single, regional earthquake is not proven, but highly probable. What makes the argument much stronger is the supporting literary evidence. Amos is dated relative to ""the earthquake"" (Amos 1:1) and Zechariah selected a single event in the middle eighth century to be his colloquial standard for urban panic more than 200 years later (Zechariah 14:5). A synthesis of seismology, archaeology, and ancient literature makes a strong case for the regional seismic event (AUS)","Contemporary: Amos 1.1; 3.14-15; 7.13; 9.5
Secondary: Zechariah 14.3-5; 2 Chron. 26.16-7; 2 Kings 15.1-7; Josephus, 9.223-7; Nathan, 9; Isaiah 2. 19, 21",AM; GCT; AM2; SAL; SAL2; WALE; BEN; ZIL2; AUS; BM5; BM; DEV; KKW; FR; AUS,Historical & Paleoseimic/Archaeoseimic,31,4
30,c.65 BCE,-65.00000000,5,Moderate,S,5,Strong-Major,NULL,NULL,9,NULL,NULL,NULL,N,Northen Syria,Syria (A),37.03000000,34.93000000,0,1,"According to Justin, the earthquake happened during Tigranes's occupation of Syria (83-69 BCE) and hit several unspecified cities, probably in northern Syria. The event was mistakenly imported to pre 90’s catalogues (e.g., AAT, BM) as occurred in Jerusalem (see KA2 and references therein). AMM matched a seismite to this event but MIG suggested that the 31 BCE masked this event. Kag found a seismite at this period in the Ein Feshekha section","Secondary: Pomp. Trog. Apud Iust. Epit. 40.2.1; ; Dio Cass. 37.11.4;Oros Hist.6.5.1; Babylonian Talmud, Baba Kama; Mal 211.16.9",AM; GCT; KA2; SAL; SDM; AAT; BM; KEN; AMM; GII; KAG; MIG,Historical & Paleoseimic/Archaeoseimic,6,5
34,31 early spring BCE,-31.00000000,1,High,S,5,Strong-Major,6-6.5 (KA2); 6.7 (MIG); 6.7 (BM); 7 (BM5); 7 (TUAR),6.70000000,NULL,NULL,NULL,NULL,C,Judea,Judea (A),35.35000000,32.08000000,0,1,"Destructive event in Judea of that time. Josephus notes that during the Actium war a devastating earthquake occurred killing 30000 people (Josephus, Ant. 15, 121-124; Bel. 1, 369-379). Generally, Josephus is considered reliable but tends to exaggerate (BR; MZ) and thus 30000 deaths seems to be overestimated. Since Judea of that time extended up to Syria and Hawran and the reports are related to Herod’s battle with the Nabataeans, the epicentral region might be north of what we reckon today as Judea. The alleged damage to Jerusalem (AAT) and the Galilee (SI) are contradicted by AM. Paleoseismic evidence near Deir-Hajla (RH) and Qumran (NURO) were questioned by AM and KA3, respectively, although MK and AG (following KAG) confirm these findings while KEN dated possible seismic activity at that time in a Ze’elim terrace. WE2 found an evidence for possible event between 392 B.C.E.–91 C.E. The possibility that the latter is not necessarily related with the 31 BCE event but rather imply of other, undocumented, seismic activity cannot be ruled out. KA2 notes that this was probably a moderate event.","Near Contemporary: (Josephus, , BeI. 1.369-379);Josephus, Ant. 15.121-4;
Secondary: Mal. 229; Georgius. Mon. CS. 94;",AM; GCT; KA; KA2; SAL; BR; MZ; AAT; SI; RH; NURO; KA3; KEN; AMM; GII; WE2; TUAR; KAG; MK; AG; EKE,Historical & Paleoseimic/Archaeoseimic,16,4
43,115 Dec 13  (morning),115.00000000,-,High,MA,6,Major,7.4 (BM5); 7.4 (SDM after BM5),7.40000000,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,1,1,"According to reliable sources, the 115 CE earthquake severely damaged Antioch, Daphne and Apamea in northern Syria and other not named towns in the surroundings (AM; GCT; KA). The tsunami in Caesarea (REI, DG) and along the coast down to Yavne (SHAL) is questionable as there are no supporting contemporary indications for this suggestion and other explanations for the destruction of the harbor exist (SAL2 and references therein). Nevertheless, the event is mentioned in several catalogues (e.g., AAT) hitting or at least affecting Israel. AM cites Malalas describing damage in Rhodes at the same period. If it is of the same event, then the earthquake origin is probably off DST system. On the other hand, MGS associate earthquake with activity of the MsF which indicate of DST activity. Further investigation is required prior to associating a tsunami with this event.","Near Contemporary: Dio Cass. 68.24, 25.6/LCL; Juv. VI. 411/LCL. 116; Secondary: Eus. Hieron. Chron. 196c; Mal. 275/ Mal. 275 276/416-417; Mal. 277/420; Mal. 278/421; Eus. Hist. 164; Oros. Hist. 7.12.15; Ps.Dion.123/I 92; Chr. 724, 121/95; Mich. Syr. Vi.4/i. 17;
Inscriptions: CIL 14.4542",AM; GCT; KA; SAL; SAL2; AMJA; SDM; REI; AAT; GD; MGS,Historical & Paleoseimic/Archaeoseimic,9,5
53,303 Apr 2,303.00000000,-,High,S,5,Strong-Major,"7.1 (BM: Ben-Menahem 1991); 7.1 (MIG: Migowsky et al 2004, After Ben-Menahem 1991); 7.1 (Sbeinati et al, 2005)",7.10000000,NULL,NULL,NULL,NULL,C-N,"Sidon, Tyre, Syria",Syria (A),37.03000000,34.93000000,0,1,"Damaged mainly the south Lebanese littoral. Eusebius and Orosius date the event to 303 and describe damage in Syria, Sidon and Tyre (AM; GCT). They describe large numbers of people (Eusebius) or thousands (Orosius) who were killed. The numbers however, seems to be exaggerated. The fact that the affected cities are located along the Lebanese littoral may suggest that the event may have been generated somewhere offshore. WE2  found an evidence for a possible event between  250–310 C.E or 269–329 C.E. or 294–369 C.E.","Contemporary: Eus. Mart. Pal. 4.15; 
Near Contemporary: Eus. Hieron. Chron. 228a; Oros. Hist.7.25.14
Inscriptions: Dussaud (1896, 299)",AM; GCT; SAL; SAL2; RUS; SDM; GII; WE2,Historical,6,4
56,363 May 18-19 (3rd hour-night),363.00000000,-,Very High,MA,5,Strong-Major,6.7 (BM); 6.4 (BM5); 7 (TUAR); 6.7 (MIG after BM); 6.5-6.7 (AG),6.70000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,"Two events, on Sunday, 18/05 at the 3rd and 9th hours after sunset (i.e., Monday, 19/05 at around 03:00). The latter seems to have been less damaging and affected the northern parts of Palestine (GCT; AM; KA). The damage in Antakya as reported by Libanius seems to have resulted from the 365 earthquakes (see Appendix 4). The earthquake extent is described in a contemporary Syrian letter attributed to Cyril, the Bishop of Jerusalem (Brock, 1977). The record of damage in Petra is supported by three inscriptions found in Zoar of 4 people who perished during the earthquake (MEI). Additional questionable records of the earthquake are also found in archaeological excavations (RUS; RUS2) and paleoseismic findings (KEN). WE2 found an evidence for a possible event between 294–369 C.E. MK suggest that the source of the event is the Dead Sea fault. However, KAG suggest that two events of M ~ 6.5, one from 363 north of the Dead Sea and one from a close date south of the Dead Sea, had been erroneously amalgamated to a single M > 7 event. AG summarizes the findings from the Dead Sea region noting the absence of matching from Zee'lim Creek and Ein Gedi core by KEN, MIG and KAG but suggest of two consecutive earthquakes although notes that this event needs further research. KKW correlated rock falls with this earthquake at the north of Galilee. ZSR analyzing the N-S damage extent of the 363 observed relatively large extent in compare to other central earthquakes suggesting that the source of the earthquake was probably two events instead of one (see also next entry)","Contemporary: Lib. Or. i. 134/Foersteri. 147ff; Brock, 1977; Ammian. XXIII. i. 2-3/LCL. Ii; Greg. Naz. Contr. Iul. Ii, 149/ 668-9; Socr. Sch. Iii.20; Sozomen v. 22; Theodor. HE 3.20; Hieron. Comm. Is. PL 24, 15, c.168 ; 
Secondary: Ps.Dion 178/i. 132; Chron. 846, 199; Chron 724 133; Mich. Sy. 4.146; Church. Alex 1.42; 
Inscriptions: Meimaris & Kritikakou-Nikolaropouloun 2005, nos. 22-24",AM; GCT; KA; SAL; RUS; RUS2; SDM; KEN; GII; MEI; AMM; WE2; AG; KAG; MIG; MK; ZSR; KLA; KKW,Historical & Paleoseimic/Archaeoseimic,39,5
83,551 Jul 9,551.00000000,-,Very High,MA,6,Major,7.8 (TUAR); Ms=7.2 (DAR); 7.5 (MIG); 7.5 (BM); Mw=7.5 (ELI),7.50000000,NULL,NULL,NULL,NULL,C-N,"Lebanon, Syria, Beirut",Lebanon (A),35.87000000,33.84000000,1,1,"Damaged mainly the south Lebanese littoral. John of Ephesus describes a tsunami and two events, about 1 hour apart from each other. According to AM, Agathias mentions this event in reference to Alexandria, where he was that year. However, GCT places this report in 554 as an event felt in Egypt and adds an event, also reported by Agathias that occurred during 554-558 in the island of Cos. This and the facts that only coastal cities in Lebanon were damaged and that there was a tsunami, leads to an assumption that Agathias might have duplicated a remote event. The other alternative is that the epicenter was in the sea or inland, very close to the shore (AM). Caesarea and Gush-Halav could have been affected (RUS). Jerusalem was not reported as damaged. WE2 found an evidence for a possible event between 505–593 C.E. ELI suggest unknown rupture of the offshore of ~100–150-km-long active, east dipping Mount Lebanon thrust close to the shore of Lebanon. KKW correlated rock falls with this earthquake at the north of Galilee","Contemporary: Ant. Plac. 159; Ioh. Ephes. 3.326-7; Vita S. Sym. Stil. Iun. 105; Mal. 485; Agath. 2.15 
Secondary:  Theoph. 227; Cedren. 659; Ps.Dion ii. 128/96; Ps.Dion. Ii. 132-133/99; Ps.Dion. Ii. 133-136/100-102; 
Look for FHT 4/1821-1824 ( fragma.Tauscul ) in ambraseys and fragma.Tauscul, Georgius and Mich. Syr in guidoboni.",AM; GCT; KA; SAL; SAL2; RUS; SDM; GII; DAR; WE2; ELI; TUAR; MIG; BM; KKW,Historical & Paleoseimic/Archaeoseimic,25,4
98,659 Jun 7 (659 Sep-660 Aug),659.00000000,-,Moderate,MA,4,Strong,"6.6 and 6.6 (Ben-Menahem 1991, 1979)",6.60000000,NULL,NULL,NULL,NULL,C,"Palestine, Jericho",Palestine (A),35.20000000,32.39000000,0,1,Probably caused damage to central Palestine at the time. The date of event is confused in the Maronite chronicles and by Theophanes though their implication of damaged localities seems to be correct (GCT; AM). This event might be merged with the 634 event. Archaeological evidence (RUSS) is not decisive. The 659 Jun 9th is probably an aftershock of this event (AM). WE2 found an evidence for a possible event between 619–684 C.E. HNA correlated an evidence in Qasr Tilah (might be also 634). KKW correlated rock falls with this earthquake at the north of Galilee,"Contemporary Sources: Chron. Maron 71/55; Chron. Maron 70/54-55 
Secondary sources: Theoph. 347; Elias Nisib. Syr.Versio 140-1; Descriptio Terrae Sanctae",AM; GCT; KA; SAL; RUS; GII; BM; WE2; HNA; KKW,Historical & Paleoseimic/Archaeoseimic,7,4
110,c.746 Jan,746.00000000,3,Moderate,MA,5,Strong-Major,7<M<7.5 (MGS);,7.20000000,NULL,NULL,NULL,NULL,N,Syria,Syria (A),37.03000000,34.93000000,0,0,See next entry (749),"Near Contemporary Sources:Theoph. 422; 
Secondary sources: 23rd Shvat fast (book of prayers found in the Cairo Genizza depository); Abd el Rahman; Agapius of Menbidj; al-Dhah. Tar. Islam.v. 39-40; al-Mak. HS. I 2/19 + al-Mak. HM. i. 2/20; al-Suyuti 17-19/9-10; al-Ulaimi, al-Uns. i. 237-238; Anastasius bibliothecarius; Cedren. 807, 809/462A/ii.7; 463 Aii.9
; Elias Nisib. Syr. Uersio 171-2; Great Chronographer; 
Ibn Tagri Birdi, al-Nujum al-zahira 1.311; Marco et al (2003)
Mayer (1931) - the chronicle of Mujir al-Din; Mich.Syr. 466-7/Mich.Syr. Xi. 22/ii. 509-511; Minor Chronicles; Paulus Diaconus; Petrus Ibn Rahib
Sawirus, ibn-al Muq. F. 987/139-140; Seventh earthquake (liturgic poem); Sibt ibn al Jawzi;
Zonaras. 2.108",AM; KA; KA2; SAL; SAL2; MAR; SDM; AM4; MGS,Historical & Paleoseimic/Archaeoseimic,28,5
111,749/Early 750,749.00000000,1,High,FM,5,Strong-Major,"M> 7 (Marco et al 2003); 7-7.5 (MIG: Migowsky et al 2004);  7.3 (BM: Ben-Menahem 1991); 7.3, 7.3 (Ben-Menahem 1979, 1981); less than 7 (Karcz 2004, Begin 2005); 7 < M < 7.5 (MGS)",7.20000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,1,1,"An event that occurred in 749 which can be reliably dated according to numismatic evidence found in the ruins of Bet-She’an (Schitopolis) by TSFO. The historical sources partly support this claim but add 1 or 2 additional possible events. The near-contemporary Byzantine chronicler Theophanes reports 3 events: (1) in 745/6 (6238, Alexandrian system) in Palestine, Syria and along the Jordan River (Theophanes, p. 585); (2) 748/9 (6241) in Syria and Mesopotamia (Theophanes, p. 589); and (3) 755/6 (6248) in Palestine and Syria (Theophanes, p. 594). Theophanes was most probably using primary sources but may have corrected their dates and fully dates two of the events. He may have also been confused, replacing damage that resulted in the first event with that of the second. Also, the severity of the second event as described is greater. The claim of more than one event is also supported by other sources (see GCT; AM; KA; KA2): (1) Syrian sources (e.g., Pseudo Dionysius that relies on contemporary accounts) and reports of events in 747 at Mabugg and Khabura and in 757;(2) 4 Arabic writers (al-Dhahabi, al-Suyuti, Mujir al-Din and al-Ulaimi) who also add damage to Al-Aqsa in 757, relating vast importance to its (second) destruction after being repaired following a previous event (could be of 746 or before). Nevertheless, the Arabic sources are secondary by far and tend to combine events. Other studies referencing a single event, such as MARG, ignore most of the mid-8th century reports of at least two destructive earthquakes. KA2 reinforces and notes that: (1) all single-event reports do not supply full date, i.e., day, month, year; (2) do not mention the ‘Feast of the Mary for the seeds’ holyday; and (3) mentions in Israel only Tiberias, Mt. Tabor and Jericho but not Jerusalem (in contradiction to Arab sources). KKW correlated rock falls with this earthquake at the north of Galilee; AM: The extent of damage, when referring to a single event (Cairo-Tiberias-Nicea-Khabura) is enormous and implies an earthquake that could hardly be generated by a geological strike-slip fault structure (as demonstrated in WECO). HNA dated an event in Qasr Tilah between 7th-10th century that could be associated to this event. Bikai 2002 and Eklund 2008 support this suggestion. The later concludes the terminal of Petra as a result of this event.","Near Contemporary Sources:  Theoph. 657;
Secondary Sources: al-Dhah. Tar. Islam.v. 39-40; al-Suyuti 17-19/9-10; al-Ulaimi, al-Uns. i. 237-238; Anastasius bibliothecarius; Cedren. 807,; 809/462A/ii.7; 463 Aii.9
; Denys of Tel Mahre (Chabot 1894; Chronicle, 72/63); Georg. Mon. 2.760; Great Chronographer; Ibn Tagri Birdi, al-Nujum al-zahira 1.311; Mekhitar Chronicle d' Airvange; Minor Chronicles; Mukadassi; Niceph. 62/64; Paulus Diaconus
Ps.Dion. 191/146; Sibt ibn al Jawzi; Tsafrir and Foerster (1992)",AM; GCT; KA2; MAR; MAR2; TSFO; WE; GII; AM4; WECO; BEG; HNA; KAG; KKW,Historical & Paleoseimic/Archaeoseimic,28,5
