Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
-1,Unknown,-10000.00000000,NULL,Moderate,U,-1,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,U,NULL,Unknown,33.65082151,33.05128774,NULL,NULL,NULL,NULL,NULL,U
-1,Unknown,-10000.00000000,NULL,Moderate,U,-1,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,U,NULL,Test,NULL,NULL,NULL,NULL,NULL,NULL,NULL,U
35,c.20 BCE,-20.00000000,5,Moderate,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,CA,Pelusium,Pelusium,32.54000000,31.04000000,1,1,"This event is based upon the evidence of the contemporary Strabo and the 3rd – 4th century Eusebius, both referring to phenomena that was not necessarily resulted from an earthquake in Egypt. The event could have been duplicated from the 15-17 BCE event allegedly occurred in Cyprus (AM). For further details see SAL; SAL2; KA. GII refer to 26 BCE","Contemporary: Str. I. iii. 17/LCL. i. 216; Str. XVI. Ii. 26/LCL. Vii. 272-274;
Secondary: Eus. Arm. 140;",AM; KA; SAL; SAL2; GII,Historical
36,17-15 BCE,-17.00000000,2,Moderate,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,CA,Cyprus,Cyprus (A),33.10000000,34.98000000,0,1,"Dio Cassius, though 3rd century writer is considered as reliable (Ambraseys, 2009) and this is also supported by Eusebius. The event happened in Cyprus and there is no evidence of damage in Israel, Lebanon or Syria.",Secondary: Dio. Cass. 54.23.7; Eus. Hieron. Chron. 166c; Georg. Sync. 593,AM; GCT; KA; GII,Historical
41,76,76.00000000,1,Moderate,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,CA,Cyprus,Cyprus (A),33.10000000,34.98000000,1,1,AM: This earthquake is recorded by secondary but reliable sources of Eusebius and Orosius. The question whether there was tsunami remains unsolved,Secondary: Eus. Hieron. Chron. 188; Oros. Hist. 7.9.11; Orac. Sibyll. 4.128; Georg. Sync. 647 Philostr. VA. VI.38/LCL ii. 130,AM; GII,Historical
48,127-130,127.00000000,3,High,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,EAS,"Nicopols, Neocaesarea (Asia Minor)",Nicopolis [GR],20.73000000,39.00000000,0,1,This event is likely to occur in Asia Minor and not in the DST area. The confusion is the interpretation of Eusebius’s report replacing NeoCaesarea and Nicopolis in Asia Minor with Caesarea and Nicopils (Emmaus) in Palestine (AM; KA),"Secondary Sources: Eus. Hieron. Chron. 200a; Eus. Hist. 166, Greek; Elias Nisib. Syr. Versio 85; Chron. Pasch. 255/617; Georg. Sync. 349/660.3; Ps.Dion. 124/i. 93; Chron. 724, 122/95; Anast. 502; Mar. Scot. Iii. 136/664",AM; GCT; KA; SAL; GII;,Historical
54,341,341.00000000,1,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,CA,Salamis (Cyprus),Cyprus (A),33.10000000,34.98000000,0,1,"AM, GCT: Occurred in Cyprus","Near Contemporary: Socr. Sch. 2.10; Sozomen 3.6; Hieron. Hist.235; Oros.VII.xxxx.5; Chron. Jac. Edess. 292/218
Secondary: Chron. 724, 130/102; Theoph. i. 36-37; Cedr.522/i.568; Ps.Dion. 169/i. 126; Mal. 313/469-471; Orc. Sibyll. Iv.125, 140-141; Mich. Syr. Vii. 4/i.270ff",AM; GCT; SAL; SAL2; SDM; GII;,Historical
58,365 Jul 21,365.00000000,-,Very High,S,6,Major,NULL,NULL,NULL,NULL,NULL,NULL,HA,Crete-Peloponnese,Crete (A),24.94000000,35.22000000,1,0,Was probably generated in the Hellenic Arc (AM; GCT; SAL2) and was mistakenly adopted by early catalogues as occurred in Palestine,TODO,AM; GCT; SAL2;,Historical
60,395,395.00000000,1,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,EAS,Constantinople,Istanbul,28.96000000,41.02000000,0,0,See previous entry.,"Contemporary: Ioann. Chrys. Terr. mot. i/1027; Ioann. Chrys. In Ep.Colors I.ii.4/315; Secondary: Marc. Com. A. 396/64, PL 920",AM; GCT; KA; SDM;,Historical
92,601 Apr 2,601.00000000,-,Moderate,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,EAS,Surb Karapet,Antakya,36.16000000,36.20000000,0,0,AM: might have occurred somewhere in northern Syria or Iraq. Most of the reported damage is in Turkey,TODO,AM; GCT; SAL; SDM;,Historical
